variant,label,seed,env_step,num_eval_points,run_dir,latest_eval_return,last20_eval_return,latest_mean_tracking_error,last20_mean_tracking_error,latest_tail_mean_target_distance,last20_tail_mean_target_distance,latest_mean_target_lost,last20_mean_target_lost,latest_mean_action_saturation_rate,last20_mean_action_saturation_rate,latest_mean_control_cost,last20_mean_control_cost,latest_mean_tracking_reward,last20_mean_tracking_reward,latest_mean_semantic_reward,last20_mean_semantic_reward
mappo_raw_tau6,MAPPO-raw-tau6,0,2000000,500,C:\code\MARL代码包\OpenMARL_codex\artifacts\auv6dof_tmc_2e6\medium_4auv\auv6dof\mappo\seed_0\tmc_medium_2e6_main-all_02,240.039821267128,231.59459728866815,0.11790531688644211,0.13531152250709202,0.04126339406715875,0.0771361397836643,0.0,0.0022400000000000002,0.0,0.0,0.03041115871890056,0.029238759304545593,0.39875212984055275,0.3890765249994179,0.2701140207049939,0.2756645167647657
mappo_raw_tau6,MAPPO-raw-tau6,1,2000000,500,C:\code\MARL代码包\OpenMARL_codex\artifacts\auv6dof_tmc_2e6\medium_4auv\auv6dof\mappo\seed_1\tmc_medium_2e6_main-all,255.2454418838024,250.75087015166878,0.08562760635582173,0.0974119812904053,0.0988491247980415,0.07041070289244619,0.0,0.008015,0.0,0.0,0.03414701432254763,0.0331689287878051,0.4123742672784604,0.40965828650751057,0.5478382568585465,0.47173856395681296
mappo_raw_tau6,MAPPO-raw-tau6,2,2000000,500,C:\code\MARL代码包\OpenMARL_codex\artifacts\auv6dof_tmc_2e6\medium_4auv\auv6dof\mappo\seed_2\tmc_medium_2e6_main-medium,245.06686931848526,216.83612430420703,0.10223056697642978,0.16765501311607653,0.14190733740311434,0.25921536914061866,0.0,0.042815000000000006,0.0,0.0,0.028585115980024053,0.025524655633794385,0.3975173273775369,0.3638310424542576,0.27992946860643564,0.229920340841032
mappo_velocity3_nonsemantic,MAPPO-velocity3,0,2000000,500,C:\code\MARL代码包\OpenMARL_codex\artifacts\auv6dof_tmc_2e6\ablation_medium_4auv\auv6dof\mappo\seed_0\tmc_ablation_mappo_velocity3_nonsemantic_2e6_ablation-mappo_velocity3_nonsemantic,228.5584382712841,229.5352787335217,0.13602479386975128,0.1348392234979819,0.1398672765038096,0.14878053322506532,0.0,0.0,0.0,0.0,0.05492600188629661,0.04869081541621442,0.38318191324385686,0.38435508150922587,0.023680778448214673,0.09559897212029884
mappo_velocity3_nonsemantic,MAPPO-velocity3,1,2000000,500,C:\code\MARL代码包\OpenMARL_codex\artifacts\auv6dof_tmc_2e6\ablation_medium_4auv\auv6dof\mappo\seed_1\tmc_ablation_mappo_velocity3_nonsemantic_2e6_ablation-mappo_velocity3_nonsemantic,178.50264988839626,191.92751710668207,0.2314584699119994,0.20540110656701657,0.2963089550717791,0.26924691585473587,0.0,0.0,0.0,0.0,0.04682388913112263,0.04773911863042669,0.3180695005728654,0.3347776071930083,-0.0020081836890716185,0.0075405018767011325
mappo_velocity3_nonsemantic,MAPPO-velocity3,2,2000000,500,C:\code\MARL代码包\OpenMARL_codex\artifacts\auv6dof_tmc_2e6\ablation_medium_4auv\auv6dof\mappo\seed_2\tmc_ablation_mappo_velocity3_nonsemantic_2e6_ablation-mappo_velocity3_nonsemantic,205.44794461131096,215.0018065932393,0.1785052704396805,0.16056847672612815,0.23667361389919286,0.2051662518799786,0.0,0.0,0.0,0.0,0.04080456776116315,0.043964194075774635,0.34965395385081754,0.36266021296437245,0.03277409526318893,0.04015951099710687
mappo_semantic_state_only,MAPPO-semantic-state,0,2000000,500,C:\code\MARL代码包\OpenMARL_codex\artifacts\auv6dof_tmc_2e6\ablation_medium_4auv\auv6dof\mappo\seed_0\tmc_ablation_mappo_semantic_state_only_2e6_ablation-mappo_semantic_state_only,185.25647512078285,195.24914460122585,0.2198474094217842,0.20216442745648827,0.2758609221325879,0.2485967916303405,0.0,0.0,0.0,0.0,0.042177248399472254,0.03638656023083676,0.3275857681146212,0.3412000089750354,0.0023115005593072023,0.012941144041945787
mappo_semantic_state_only,MAPPO-semantic-state,1,2000000,500,C:\code\MARL代码包\OpenMARL_codex\artifacts\auv6dof_tmc_2e6\ablation_medium_4auv\auv6dof\mappo\seed_1\tmc_ablation_mappo_semantic_state_only_2e6_ablation-mappo_semantic_state_only,213.63246947526932,205.88848361298443,0.16760057184610716,0.18112761081593048,0.15459562684241632,0.19912948191228794,0.0,0.0,0.0,0.0,0.038079679712332684,0.03952453623936325,0.36552632712186156,0.3543115395467952,0.11771235095901762,0.07483065813365782
mappo_semantic_state_only,MAPPO-semantic-state,2,2000000,500,C:\code\MARL代码包\OpenMARL_codex\artifacts\auv6dof_tmc_2e6\ablation_medium_4auv\auv6dof\mappo\seed_2\tmc_ablation_mappo_semantic_state_only_2e6_ablation-mappo_semantic_state_only,197.57480484247208,215.3153255571425,0.1943925891717674,0.16089034952283543,0.26255244228258623,0.19738630879758648,0.0,0.0,0.0,0.0,0.04593166313886663,0.0425359867866862,0.3414286645179777,0.36398633064570374,0.018281059855387475,0.07625820922240042
stg_mappo_full,STG-MAPPO-full,0,2000000,500,C:\code\MARL代码包\OpenMARL_codex\artifacts\auv6dof_tmc_2e6\medium_4auv\auv6dof\stg_mappo\seed_0\tmc_medium_2e6_stage1-stg-medium_02,262.35865680873394,261.5287875960767,0.012174637466540263,0.013453053283144223,0.0119388620907663,0.012272298531524499,0.0,0.0,0.0,0.0,0.014333504906657444,0.015734421100886485,0.3605502029314238,0.3607982328471795,0.9386858028475229,0.925845124073944
