algo,algo_label,seed,env_step,train_iter,eval_points,latest_eval_return,latest_tail_mean_target_distance,latest_tail_mean_target_distance_display,latest_mean_tracking_error,latest_mean_tracking_error_display,latest_mean_target_lost,latest_mean_action_saturation_rate,last20_mean_eval_return,last20_mean_tail_mean_target_distance,last20_mean_tail_mean_target_distance_display,last20_mean_mean_tracking_error,last20_mean_mean_tracking_error_display,last20_mean_mean_target_lost,last20_mean_mean_action_saturation_rate,last20_mean_mean_control_cost,last20_mean_mean_tracking_reward,last20_mean_mean_semantic_reward,auc_eval_return,auc_tracking_error,steps_to_tracking_error_0p05,steps_to_lost_rate_0p05,run_dir,finish_time
stg_mappo,STG-MAPPO,0,2000000,20000,500,262.35865680873394,0.0119388620907663,0.0119388620907663,0.012174637466540263,0.012174637466540263,0.0,0.0,261.5287875960767,0.012272298531524499,0.012272298531524499,0.013453053283144223,0.013453053283144223,0.0,0.0,0.015734421100886485,0.3607982328471795,0.925845124073944,227.6287597143203,0.03566706564020807,176000.0,40000.0,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/stg_mappo/seed_0/tmc_medium_2e6_stage1-stg-medium_02,Sat May  9 04:50:07 2026
stg_mappo,STG-MAPPO,1,2000000,20000,500,262.19178426265717,0.011512443212505385,0.011512443212505385,0.010144594793414913,0.010144594793414913,0.0,0.0,261.5520250210166,0.012768167823093599,0.012768167823093599,0.010814682227826982,0.010814682227826982,0.0,0.0,0.019554045332530325,0.35987155362230383,0.9278758551690224,219.58845526313783,0.033338482372878536,204000.0,40000.0,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/stg_mappo/seed_1/tmc_medium_2e6_stage1-stg-medium,Sat May  9 16:24:18 2026
stg_mappo,STG-MAPPO,2,2000000,20000,500,253.2404320538044,0.016008482314233498,0.016008482314233498,0.010558399911281005,0.010558399911281005,0.0,0.0,241.34716772049666,0.01801297333989894,0.01801297333989894,0.012736422262447556,0.012736422262447556,0.0,0.0,0.0077510829613335105,0.3581083665028056,0.5010790630986707,209.0862043991983,0.0430404006853813,292000.0,40000.0,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/stg_mappo/seed_2/tmc_medium_2e6_stage1-stg-medium,Sat May  9 21:15:57 2026
mappo,MAPPO,0,2000000,20000,500,240.039821267128,0.04126339406715875,0.04126339406715875,0.11790531688644211,0.11790531688644211,0.0,0.0,231.59459728866815,0.0771361397836643,0.0771361397836643,0.13531152250709202,0.13531152250709202,0.0022400000000000002,0.0,0.029238759304545593,0.3890765249994179,0.2756645167647657,147.1143331504619,0.34830430546218216,nan,896000.0,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/mappo/seed_0/tmc_medium_2e6_main-all_02,Sat May  9 03:19:30 2026
mappo,MAPPO,1,2000000,20000,500,255.2454418838024,0.0988491247980415,0.0988491247980415,0.08562760635582173,0.08562760635582173,0.0,0.0,250.75087015166878,0.07041070289244619,0.07041070289244619,0.0974119812904053,0.0974119812904053,0.008015,0.0,0.0331689287878051,0.40965828650751057,0.47173856395681296,138.43058066556952,0.397246970416462,nan,648000.0,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/mappo/seed_1/tmc_medium_2e6_main-all,Sat May  9 07:37:44 2026
mappo,MAPPO,2,2000000,20000,500,245.06686931848526,0.14190733740311434,0.14190733740311434,0.10223056697642978,0.10223056697642978,0.0,0.0,216.83612430420703,0.25921536914061866,0.25921536914061866,0.16765501311607653,0.16765501311607653,0.042815000000000006,0.0,0.025524655633794385,0.3638310424542576,0.229920340841032,151.21031381695303,0.3228529713614783,nan,712000.0,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/mappo/seed_2/tmc_medium_2e6_main-medium,Sat May  9 15:22:10 2026
maddpg,MADDPG,0,2002000,24900,996,-11.63185521401465,0.9429036897510215,0.9429036897510215,0.6546309402100298,0.6546309402100298,0.4235,0.0,26.57798388263676,0.6759516104995866,0.6759516104995866,0.5851825103404366,0.5851825103404366,0.31616750000000005,0.0,0.027769385689002148,0.13525894477966663,-0.016170714298270005,32.828945815785936,0.5609077411615836,nan,711554.21686747,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/maddpg/seed_0/tmc_medium_2e6_main-medium,Sun May 10 14:36:09 2026
maddpg,MADDPG,1,2002000,24900,996,233.34192997217178,0.09862508281880586,0.09862508281880586,0.13059599816947823,0.13059599816947823,0.0,0.0,167.09369745957082,0.307673409999679,0.307673409999679,0.26472438089777484,0.26472438089777484,0.05416000000000001,0.0,0.029753310350090288,0.30558797007255495,0.09883505803436053,89.59855188206808,0.45199563543655114,nan,215074.297188755,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/maddpg/seed_1/tmc_medium_2e6_main-medium,Sun May 10 03:18:01 2026
maddpg,MADDPG,2,2002000,24900,996,203.93953028321266,0.2607035760728777,0.2607035760728777,0.18855310065416733,0.18855310065416733,0.0,0.0,199.0057475279132,0.22152863122924707,0.22152863122924707,0.19668784115944837,0.19668784115944837,0.019385,0.0,0.027829763825368614,0.344588922991992,0.16332112847401947,167.47368172461407,0.2731168775904369,267335.3413654619,231154.61847389556,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/maddpg/seed_2/tmc_medium_2e6_main-medium,Sun May 10 09:52:44 2026
matd3,MATD3,0,2002000,24900,996,1.4011120554059744,0.8064592804617235,0.8064592804617235,0.6660695153317461,0.6660695153317461,0.477,0.0,20.46646588433432,0.6470275760580361,0.6470275760580361,0.5822670456089927,0.5822670456089927,0.4211425,0.0,0.026545652815896242,0.13862395567890506,-0.00757348601235268,25.53167245445292,0.5779047081870086,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/matd3/seed_0/tmc_medium_2e6_main-medium,Sun May 10 07:54:28 2026
matd3,MATD3,1,2002000,24900,996,-4.864867222495377,0.9452007133272047,0.9452007133272047,0.6813763290075927,0.6813763290075927,0.532,0.0,12.472087225166614,0.7540607664784256,0.7540607664784256,0.6642926066817881,0.6642926066817881,0.5099049999999999,0.0,0.022807376053765836,0.1223865002878186,-0.006280953984999635,113.21636747177219,0.40993531184988297,nan,166833.3333333333,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/matd3/seed_1/tmc_medium_2e6_main-medium,Sun May 10 06:53:05 2026
matd3,MATD3,2,2002000,24900,996,158.64028611034155,0.3740339172932815,0.3740339172932815,0.26907794066333174,0.26907794066333174,0.0,0.0,101.14616846488003,0.5388998963828203,0.5388998963828203,0.40976906829376863,0.40976906829376863,0.16900500000000002,0.0,0.03137835266612556,0.22086163046946414,0.023238671206568737,116.58601162967076,0.37791551319974825,nan,130652.61044176707,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/matd3/seed_2/tmc_medium_2e6_main-medium,Sun May 10 15:42:46 2026
happo,HAPPO,0,2000000,80000,500,76.78841077908874,0.5676061714526139,0.5676061714526139,0.4229064675541626,0.4229064675541626,0.2615,0.004833333333333332,45.70277719791629,0.7077693559985634,0.7077693559985634,0.5751705463949883,0.5751705463949883,0.395135,0.0060208333333333355,0.05978389742020188,0.17232781821641438,-0.011487070830474004,3.702354888449016,0.7753901009383644,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/happo/seed_0/tmc_medium_2e6_main-medium_01,Sun May 10 03:48:42 2026
happo,HAPPO,1,2000000,80000,500,-73.05372744426131,1.1225219940907545,1.1225219940907545,0.9457971370755824,0.9457971370755824,0.843,0.2740000000000001,-71.80967378061264,1.2323613114360823,1.2323613114360823,1.0427435762045782,1.0427435762045782,0.83069,0.18399333333333312,0.18420781294234678,0.04026045834954001,-0.04465130807639443,-33.803206773835704,0.8839890182570332,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/happo/seed_1/tmc_medium_2e6_main-medium,Sun May 10 14:29:32 2026
happo,HAPPO,2,2000000,80000,500,-53.71509647369385,1.0835538376302711,1.0835538376302711,0.932846487171791,0.932846487171791,0.694,0.1340833333333332,-50.16477636809723,1.120162651179785,1.120162651179785,0.9574335477407026,0.9574335477407026,0.6932550000000001,0.11852499999999987,0.12922634541217157,0.0585150915014933,-0.05105448930054325,-60.05339617431949,1.0875661372319285,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/happo/seed_2/tmc_medium_2e6_main-medium,Mon May 11 01:45:06 2026
madqn,MADQN,0,2000000,5000,500,-9.403931967914104,0.8662326724851414,0.8662326724851414,0.7156320443544818,0.7156320443544818,0.4445,0.0,-22.537934550228236,0.9291508614788193,0.9291508614788193,0.7492010512855687,0.7492010512855687,0.5820799999999999,0.0,0.01648733998456611,0.07164005830990497,-0.037395179568911766,-22.565342960606678,0.7467412023265239,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/madqn/seed_0/tmc_medium_2e6_main-medium_01,Sat May  9 20:48:05 2026
madqn,MADQN,1,2000000,5000,500,-51.64702625852078,1.1550668266577162,1.1550668266577162,0.9342092137245087,0.9342092137245087,0.758,0.0,-63.87627485051751,1.1398592250778303,1.1398592250778303,0.9303000736028576,0.9303000736028576,0.7846449999999998,0.0,0.014938893911748692,0.025367161871986225,-0.050640199576632045,-64.87035171586427,0.9342338599439447,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/madqn/seed_1/tmc_medium_2e6_main-medium,Sun May 10 00:47:39 2026
madqn,MADQN,2,2000000,5000,500,41.75332223530859,0.6276717006754141,0.6276717006754141,0.605867543126131,0.605867543126131,0.359,0.0,45.59101714709541,0.7521747478642901,0.7521747478642901,0.560498649180808,0.560498649180808,0.32654000000000005,0.0,0.015934043114226262,0.15578793448968384,-0.024214398052194497,-9.815100806714968,0.7452262297950336,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/madqn/seed_2/tmc_medium_2e6_main-medium,Sun May 10 04:58:37 2026
masac,MASAC,0,2002000,24900,996,-78.422613532166,1.4055383129792196,1.4055383129792196,1.1365139831364943,1.1365139831364943,0.8615,0.0,-66.71627765826125,1.1780949355668064,1.1780949355668064,0.9695572021528284,0.9695572021528284,0.7785475,0.0,0.013478292346841005,0.02288957629790829,-0.05017099169405384,-61.93338471194535,0.9804657799741209,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/masac/seed_0/tmc_medium_2e6_main-medium_03,Sun May 10 02:44:55 2026
masac,MASAC,1,2002000,24900,996,-35.0163795882836,1.1977004222709635,1.1977004222709635,0.8885109662817628,0.8885109662817628,0.664,0.0,-57.60279596201537,1.2126536827636103,1.2126536827636103,0.9641928235557947,0.9641928235557947,0.7411650000000001,0.0,0.015491862382008526,0.03142425932953094,-0.05274074725028015,-51.678869635358325,0.9426893858406895,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/masac/seed_1/tmc_medium_2e6_main-medium,Sat May  9 22:07:27 2026
masac,MASAC,2,2002000,24900,996,-76.80639485921711,0.9800910781360125,0.9800910781360125,0.9567852369495897,0.9567852369495897,0.866,0.0,-72.24314069910906,1.3261701726885768,1.3261701726885768,1.0624343241289975,1.0624343241289975,0.81592,0.0,0.015502127110072584,0.015303430098112017,-0.05289596625526653,-68.64344792185689,1.0411780835376139,nan,nan,C:/code/MARL代码包/OpenMARL_codex/artifacts/auv6dof_tmc_2e6/medium_4auv/auv6dof/masac/seed_2/tmc_medium_2e6_main-medium,Sun May 10 02:39:19 2026
